Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
2	Wed Feb 06 23:00:36 EET 2013	Wed Feb 06 23:00:36 EET 2013	1	1.0	1.0	688	106.0	0	0.0	0	0.0	711	117.0
2	Wed Feb 06 23:00:36 EET 2013	Wed Feb 06 23:00:36 EET 2013	2	1.0	1.0	553	40.0	0	0.0	0	0.0	688	101.0
2	Wed Feb 06 23:00:36 EET 2013	Wed Feb 06 23:00:36 EET 2013	1	1.0	1.0	689	109.0	0	0.0	0	0.0	712	119.0
2	Wed Feb 06 23:00:36 EET 2013	Wed Feb 06 23:00:36 EET 2013	2	1.0	1.0	582	43.0	0	0.0	0	0.0	701	99.0
1	Wed Feb 06 23:06:50 EET 2013	Wed Feb 06 23:06:50 EET 2013	1	1.0	1.0	568	568	0	0	0	0	581	581
1	Wed Feb 06 23:06:50 EET 2013	Wed Feb 06 23:06:50 EET 2013	2	1.0	1.0	502	502	0	0	0	0	565	565
1	Wed Feb 06 23:06:51 EET 2013	Wed Feb 06 23:06:51 EET 2013	1	1.0	1.0	579	579	0	0	0	0	605	605
1	Wed Feb 06 23:06:51 EET 2013	Wed Feb 06 23:06:51 EET 2013	2	1.0	1.0	529	529	0	0	0	0	581	581
1	Wed Feb 06 23:09:22 EET 2013	Wed Feb 06 23:09:22 EET 2013	1	1.0	1.0	77	77	0	0	0	0	77	77
1	Wed Feb 06 23:12:34 EET 2013	Wed Feb 06 23:12:34 EET 2013	1	0.9982547993019197	1.0	573	573	1	1	0	0	589	589
1	Wed Feb 06 23:12:34 EET 2013	Wed Feb 06 23:12:34 EET 2013	2	1.0	1.0	510	510	0	0	0	0	578	578
1	Wed Feb 06 23:12:35 EET 2013	Wed Feb 06 23:12:34 EET 2013	1	0.9982608695652174	1.0	575	575	1	1	0	0	600	600
1	Wed Feb 06 23:12:35 EET 2013	Wed Feb 06 23:12:35 EET 2013	2	1.0	1.0	536	536	0	0	0	0	593	593
2	Wed Feb 06 23:13:35 EET 2013	Wed Feb 06 23:13:35 EET 2013	1	1.0	1.0	679	106.0	1	0.0	0	0.0	707	118.0
2	Wed Feb 06 23:13:35 EET 2013	Wed Feb 06 23:13:35 EET 2013	2	1.0	1.0	550	40.0	0	0.0	0	0.0	678	100.0
2	Wed Feb 06 23:13:35 EET 2013	Wed Feb 06 23:13:35 EET 2013	1	1.0	1.0	680	105.0	1	0.0	0	0.0	709	109.0
2	Wed Feb 06 23:13:35 EET 2013	Wed Feb 06 23:13:35 EET 2013	2	1.0	1.0	579	43.0	0	0.0	0	0.0	707	114.0
