Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
1	Wed Feb 06 23:33:35 EET 2013	73731	1	Garbage collection optimized for throughput Old Collector	0	0	0	0			67108864	67108864	3221225472	40289584
1	Wed Feb 06 23:33:35 EET 2013	71572	2	Garbage collection optimized for throughput Old Collector	0	0	0	0			67108864	67108864	3221225472	39797576
1	Wed Feb 06 23:33:35 EET 2013	73748	1	Garbage collection optimized for throughput Young Collector	2	2	37	37	13721	28.0	67108864	67108864	3221225472	40292000
1	Wed Feb 06 23:33:35 EET 2013	71572	2	Garbage collection optimized for throughput Young Collector	2	2	29	29	13646	21.0	67108864	67108864	3221225472	39797576
1	Wed Feb 06 23:33:36 EET 2013	75613	1	Garbage collection optimized for throughput Old Collector	0	0	0	0			67108864	67108864	3221225472	39142168
1	Wed Feb 06 23:33:36 EET 2013	73459	2	Garbage collection optimized for throughput Old Collector	0	0	0	0			67108864	67108864	3221225472	40095688
1	Wed Feb 06 23:33:36 EET 2013	75613	1	Garbage collection optimized for throughput Young Collector	3	3	52	52	73861	14.0	67108864	67108864	3221225472	39142168
1	Wed Feb 06 23:33:36 EET 2013	73473	2	Garbage collection optimized for throughput Young Collector	2	2	29	29	13646	21.0	67108864	67108864	3221225472	43767696
2	Wed Feb 06 23:34:35 EET 2013	133995	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	43067032
2	Wed Feb 06 23:34:35 EET 2013	131852	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	37249432
2	Wed Feb 06 23:34:35 EET 2013	134031	1	Garbage collection optimized for throughput Young Collector	3	1.0	52	15.0	73861	14.0	67108864	67108864	3221225472	43067032
2	Wed Feb 06 23:34:35 EET 2013	131852	2	Garbage collection optimized for throughput Young Collector	3	1.0	44	15.0	73569	16.0	67108864	67108864	3221225472	37249432
2	Wed Feb 06 23:34:37 EET 2013	135811	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	47266920
2	Wed Feb 06 23:34:37 EET 2013	133706	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	43253856
2	Wed Feb 06 23:34:37 EET 2013	135811	1	Garbage collection optimized for throughput Young Collector	3	0.0	52	0.0	73861	14.0	67108864	67108864	3221225472	47266920
2	Wed Feb 06 23:34:37 EET 2013	133711	2	Garbage collection optimized for throughput Young Collector	3	1.0	44	15.0	73569	16.0	67108864	67108864	3221225472	43253856
3	Wed Feb 06 23:35:35 EET 2013	194251	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	31261600
3	Wed Feb 06 23:35:35 EET 2013	192000	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	47356936
3	Wed Feb 06 23:35:35 EET 2013	194255	1	Garbage collection optimized for throughput Young Collector	4	1.0	68	16.0	194224	17.0	67108864	67108864	3221225472	31261600
3	Wed Feb 06 23:35:35 EET 2013	192000	2	Garbage collection optimized for throughput Young Collector	3	0.0	44	0.0	73569	16.0	67108864	67108864	3221225472	47356936
3	Wed Feb 06 23:35:37 EET 2013	195999	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	44424120
3	Wed Feb 06 23:35:37 EET 2013	193927	2	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	29736744
3	Wed Feb 06 23:35:37 EET 2013	195999	1	Garbage collection optimized for throughput Young Collector	4	1.0	68	16.0	194224	17.0	67108864	67108864	3221225472	44424120
3	Wed Feb 06 23:35:37 EET 2013	193931	2	Garbage collection optimized for throughput Young Collector	4	1.0	58	14.0	193892	13.0	67108864	67108864	3221225472	29736744
4	Wed Feb 06 23:36:35 EET 2013	254459	1	Garbage collection optimized for throughput Old Collector	0	0.0	0	0.0			67108864	67108864	3221225472	46904000
