Batch Counter	Report Time	Min Node Rx Success	Grid Rx Success	Min Node Tx Success	Grid Tx Success
1	Wed Feb 06 23:33:34 EET 2013	1.0	1.0	1.0	1.0
1	Wed Feb 06 23:33:36 EET 2013	1.0	1.0	1.0	1.0
2	Wed Feb 06 23:34:35 EET 2013	1.0	1.0	1.0	1.0
2	Wed Feb 06 23:34:37 EET 2013	1.0	1.0	1.0	1.0
3	Wed Feb 06 23:35:35 EET 2013	1.0	1.0	1.0	1.0
3	Wed Feb 06 23:35:37 EET 2013	1.0	1.0	1.0	1.0
4	Wed Feb 06 23:36:35 EET 2013	1.0	1.0	1.0	1.0
4	Wed Feb 06 23:36:37 EET 2013	1.0	1.0	1.0	1.0
5	Wed Feb 06 23:37:35 EET 2013	1.0	1.0	1.0	1.0
5	Wed Feb 06 23:37:37 EET 2013	1.0	1.0	1.0	1.0
6	Wed Feb 06 23:38:36 EET 2013	1.0	1.0	1.0	1.0
6	Wed Feb 06 23:38:38 EET 2013	1.0	1.0	1.0	1.0
7	Wed Feb 06 23:39:36 EET 2013	1.0	1.0	1.0	1.0
7	Wed Feb 06 23:39:38 EET 2013	1.0	1.0	1.0	1.0
8	Wed Feb 06 23:40:36 EET 2013	1.0	1.0	1.0	1.0
8	Wed Feb 06 23:40:38 EET 2013	1.0	1.0	1.0	1.0
9	Wed Feb 06 23:41:36 EET 2013	1.0	1.0	1.0	1.0
9	Wed Feb 06 23:41:38 EET 2013	1.0	1.0	1.0	1.0
10	Wed Feb 06 23:42:37 EET 2013	1.0	1.0	1.0	1.0
10	Wed Feb 06 23:42:39 EET 2013	1.0	1.0	1.0	1.0
11	Wed Feb 06 23:43:37 EET 2013	1.0	1.0	1.0	1.0
11	Wed Feb 06 23:43:39 EET 2013	1.0	1.0	1.0	1.0
12	Wed Feb 06 23:44:37 EET 2013	1.0	1.0	1.0	1.0
12	Wed Feb 06 23:44:39 EET 2013	1.0	1.0	1.0	1.0
13	Wed Feb 06 23:45:37 EET 2013	1.0	1.0	1.0	1.0
13	Wed Feb 06 23:45:39 EET 2013	1.0	1.0	1.0	1.0
14	Wed Feb 06 23:46:38 EET 2013	1.0	1.0	1.0	1.0
14	Wed Feb 06 23:46:40 EET 2013	1.0	1.0	1.0	1.0
15	Wed Feb 06 23:47:38 EET 2013	1.0	1.0	1.0	1.0
15	Wed Feb 06 23:47:40 EET 2013	1.0	1.0	1.0	1.0
16	Wed Feb 06 23:48:38 EET 2013	1.0	1.0	1.0	1.0
16	Wed Feb 06 23:48:40 EET 2013	1.0	1.0	1.0	1.0
17	Wed Feb 06 23:49:38 EET 2013	1.0	1.0	1.0	1.0
17	Wed Feb 06 23:49:40 EET 2013	1.0	1.0	1.0	1.0
18	Wed Feb 06 23:50:38 EET 2013	1.0	1.0	1.0	1.0
18	Wed Feb 06 23:50:40 EET 2013	1.0	1.0	1.0	1.0
19	Wed Feb 06 23:51:39 EET 2013	1.0	1.0	1.0	1.0
19	Wed Feb 06 23:51:41 EET 2013	1.0	1.0	1.0	1.0
20	Wed Feb 06 23:52:39 EET 2013	1.0	1.0	1.0	1.0
20	Wed Feb 06 23:52:41 EET 2013	1.0	1.0	1.0	1.0
21	Wed Feb 06 23:53:39 EET 2013	1.0	1.0	1.0	1.0
21	Wed Feb 06 23:53:41 EET 2013	1.0	1.0	1.0	1.0
22	Wed Feb 06 23:54:39 EET 2013	1.0	1.0	1.0	1.0
22	Wed Feb 06 23:54:41 EET 2013	1.0	1.0	1.0	1.0
23	Wed Feb 06 23:55:39 EET 2013	1.0	1.0	1.0	1.0
23	Wed Feb 06 23:55:41 EET 2013	1.0	1.0	1.0	1.0
24	Wed Feb 06 23:56:39 EET 2013	1.0	1.0	1.0	1.0
24	Wed Feb 06 23:56:41 EET 2013	1.0	1.0	1.0	1.0
25	Wed Feb 06 23:57:39 EET 2013	1.0	1.0	1.0	1.0
25	Wed Feb 06 23:57:42 EET 2013	1.0	1.0	1.0	1.0
26	Wed Feb 06 23:58:40 EET 2013	1.0	1.0	1.0	1.0
26	Wed Feb 06 23:58:42 EET 2013	1.0	1.0	1.0	1.0
27	Wed Feb 06 23:59:40 EET 2013	1.0	1.0	1.0	1.0
27	Wed Feb 06 23:59:42 EET 2013	1.0	1.0	1.0	1.0
