Batch Counter	ReportTime	RefreshPolicy	RefreshTime	RefreshExcessCount	RefreshCount	RefreshPredictionCount	RefreshTimeoutCount
88	Thu Feb 07 01:00:48 EET 2013	refresh-ahead	Thu Feb 07 01:00:48 EET 2013	8	102	609	0
88	Thu Feb 07 01:00:51 EET 2013	refresh-ahead	Thu Feb 07 01:00:51 EET 2013	6	101	435	0
89	Thu Feb 07 01:01:48 EET 2013	refresh-ahead	Thu Feb 07 01:01:48 EET 2013	8	104	616	0
89	Thu Feb 07 01:01:51 EET 2013	refresh-ahead	Thu Feb 07 01:01:51 EET 2013	6	102	440	0
90	Thu Feb 07 01:02:48 EET 2013	refresh-ahead	Thu Feb 07 01:02:48 EET 2013	8	106	623	0
90	Thu Feb 07 01:02:51 EET 2013	refresh-ahead	Thu Feb 07 01:02:51 EET 2013	6	103	445	0
91	Thu Feb 07 01:03:48 EET 2013	refresh-ahead	Thu Feb 07 01:03:48 EET 2013	8	107	630	0
91	Thu Feb 07 01:03:51 EET 2013	refresh-ahead	Thu Feb 07 01:03:51 EET 2013	6	104	450	0
92	Thu Feb 07 01:04:48 EET 2013	refresh-ahead	Thu Feb 07 01:04:48 EET 2013	8	108	637	0
92	Thu Feb 07 01:04:51 EET 2013	refresh-ahead	Thu Feb 07 01:04:51 EET 2013	6	105	455	0
93	Thu Feb 07 01:05:48 EET 2013	refresh-ahead	Thu Feb 07 01:05:48 EET 2013	8	109	644	0
93	Thu Feb 07 01:05:51 EET 2013	refresh-ahead	Thu Feb 07 01:05:51 EET 2013	6	106	460	0
94	Thu Feb 07 01:06:49 EET 2013	refresh-ahead	Thu Feb 07 01:06:49 EET 2013	8	110	651	0
94	Thu Feb 07 01:06:51 EET 2013	refresh-ahead	Thu Feb 07 01:06:51 EET 2013	6	107	465	0
95	Thu Feb 07 01:07:49 EET 2013	refresh-ahead	Thu Feb 07 01:07:49 EET 2013	8	111	658	0
95	Thu Feb 07 01:07:51 EET 2013	refresh-ahead	Thu Feb 07 01:07:51 EET 2013	6	108	470	0
96	Thu Feb 07 01:08:49 EET 2013	refresh-ahead	Thu Feb 07 01:08:49 EET 2013	8	112	665	0
96	Thu Feb 07 01:08:52 EET 2013	refresh-ahead	Thu Feb 07 01:08:52 EET 2013	6	109	475	0
97	Thu Feb 07 01:09:49 EET 2013	refresh-ahead	Thu Feb 07 01:09:49 EET 2013	8	113	672	0
97	Thu Feb 07 01:09:52 EET 2013	refresh-ahead	Thu Feb 07 01:09:52 EET 2013	6	110	480	0
98	Thu Feb 07 01:10:49 EET 2013	refresh-ahead	Thu Feb 07 01:10:49 EET 2013	8	114	679	0
98	Thu Feb 07 01:10:52 EET 2013	refresh-ahead	Thu Feb 07 01:10:52 EET 2013	6	112	485	0
99	Thu Feb 07 01:11:49 EET 2013	refresh-ahead	Thu Feb 07 01:11:49 EET 2013	8	115	686	0
99	Thu Feb 07 01:11:52 EET 2013	refresh-ahead	Thu Feb 07 01:11:52 EET 2013	6	113	490	0
100	Thu Feb 07 01:12:49 EET 2013	refresh-ahead	Thu Feb 07 01:12:49 EET 2013	8	116	693	0
100	Thu Feb 07 01:12:52 EET 2013	refresh-ahead	Thu Feb 07 01:12:52 EET 2013	6	114	495	0
101	Thu Feb 07 01:13:49 EET 2013	refresh-ahead	Thu Feb 07 01:13:49 EET 2013	8	117	700	0
101	Thu Feb 07 01:13:52 EET 2013	refresh-ahead	Thu Feb 07 01:13:52 EET 2013	6	115	500	0
102	Thu Feb 07 01:14:49 EET 2013	refresh-ahead	Thu Feb 07 01:14:49 EET 2013	8	118	707	0
102	Thu Feb 07 01:14:52 EET 2013	refresh-ahead	Thu Feb 07 01:14:52 EET 2013	6	116	505	0
103	Thu Feb 07 01:15:50 EET 2013	refresh-ahead	Thu Feb 07 01:15:50 EET 2013	8	119	714	0
103	Thu Feb 07 01:15:53 EET 2013	refresh-ahead	Thu Feb 07 01:15:53 EET 2013	6	118	510	0
104	Thu Feb 07 01:16:50 EET 2013	refresh-ahead	Thu Feb 07 01:16:50 EET 2013	8	120	721	0
104	Thu Feb 07 01:16:53 EET 2013	refresh-ahead	Thu Feb 07 01:16:53 EET 2013	6	120	515	0
105	Thu Feb 07 01:17:50 EET 2013	refresh-ahead	Thu Feb 07 01:17:50 EET 2013	8	121	728	0
105	Thu Feb 07 01:17:53 EET 2013	refresh-ahead	Thu Feb 07 01:17:53 EET 2013	6	121	520	0
106	Thu Feb 07 01:18:50 EET 2013	refresh-ahead	Thu Feb 07 01:18:50 EET 2013	8	122	735	0
106	Thu Feb 07 01:18:53 EET 2013	refresh-ahead	Thu Feb 07 01:18:53 EET 2013	6	122	525	0
107	Thu Feb 07 01:19:50 EET 2013	refresh-ahead	Thu Feb 07 01:19:50 EET 2013	8	123	742	0
107	Thu Feb 07 01:19:53 EET 2013	refresh-ahead	Thu Feb 07 01:19:53 EET 2013	6	123	530	0
108	Thu Feb 07 01:20:50 EET 2013	refresh-ahead	Thu Feb 07 01:20:50 EET 2013	8	124	749	0
108	Thu Feb 07 01:20:53 EET 2013	refresh-ahead	Thu Feb 07 01:20:53 EET 2013	6	124	535	0
109	Thu Feb 07 01:21:50 EET 2013	refresh-ahead	Thu Feb 07 01:21:50 EET 2013	8	125	756	0
109	Thu Feb 07 01:21:53 EET 2013	refresh-ahead	Thu Feb 07 01:21:53 EET 2013	6	126	540	0
110	Thu Feb 07 01:22:50 EET 2013	refresh-ahead	Thu Feb 07 01:22:50 EET 2013	8	126	763	0
110	Thu Feb 07 01:22:54 EET 2013	refresh-ahead	Thu Feb 07 01:22:54 EET 2013	6	127	545	0
111	Thu Feb 07 01:23:51 EET 2013	refresh-ahead	Thu Feb 07 01:23:51 EET 2013	8	127	770	0
111	Thu Feb 07 01:23:54 EET 2013	refresh-ahead	Thu Feb 07 01:23:54 EET 2013	6	128	550	0
112	Thu Feb 07 01:24:51 EET 2013	refresh-ahead	Thu Feb 07 01:24:51 EET 2013	8	128	777	0
112	Thu Feb 07 01:24:54 EET 2013	refresh-ahead	Thu Feb 07 01:24:54 EET 2013	6	130	555	0
113	Thu Feb 07 01:25:51 EET 2013	refresh-ahead	Thu Feb 07 01:25:51 EET 2013	8	129	784	0
113	Thu Feb 07 01:25:54 EET 2013	refresh-ahead	Thu Feb 07 01:25:54 EET 2013	6	132	560	0
114	Thu Feb 07 01:26:51 EET 2013	refresh-ahead	Thu Feb 07 01:26:51 EET 2013	8	130	791	0
114	Thu Feb 07 01:26:54 EET 2013	refresh-ahead	Thu Feb 07 01:26:54 EET 2013	6	133	565	0
115	Thu Feb 07 01:27:51 EET 2013	refresh-ahead	Thu Feb 07 01:27:51 EET 2013	8	132	798	0
115	Thu Feb 07 01:27:54 EET 2013	refresh-ahead	Thu Feb 07 01:27:54 EET 2013	6	134	570	0
116	Thu Feb 07 01:28:51 EET 2013	refresh-ahead	Thu Feb 07 01:28:51 EET 2013	8	133	805	0
116	Thu Feb 07 01:28:54 EET 2013	refresh-ahead	Thu Feb 07 01:28:54 EET 2013	6	136	575	0
117	Thu Feb 07 01:29:51 EET 2013	refresh-ahead	Thu Feb 07 01:29:51 EET 2013	8	134	812	0
117	Thu Feb 07 01:29:55 EET 2013	refresh-ahead	Thu Feb 07 01:29:55 EET 2013	6	137	580	0
118	Thu Feb 07 01:30:51 EET 2013	refresh-ahead	Thu Feb 07 01:30:51 EET 2013	8	135	819	0
118	Thu Feb 07 01:30:55 EET 2013	refresh-ahead	Thu Feb 07 01:30:55 EET 2013	6	138	585	0
119	Thu Feb 07 01:31:52 EET 2013	refresh-ahead	Thu Feb 07 01:31:52 EET 2013	8	136	826	0
119	Thu Feb 07 01:31:55 EET 2013	refresh-ahead	Thu Feb 07 01:31:55 EET 2013	6	139	590	0
120	Thu Feb 07 01:32:52 EET 2013	refresh-ahead	Thu Feb 07 01:32:52 EET 2013	8	137	833	0
120	Thu Feb 07 01:32:55 EET 2013	refresh-ahead	Thu Feb 07 01:32:55 EET 2013	6	140	595	0
121	Thu Feb 07 01:33:52 EET 2013	refresh-ahead	Thu Feb 07 01:33:52 EET 2013	8	139	840	0
121	Thu Feb 07 01:33:55 EET 2013	refresh-ahead	Thu Feb 07 01:33:55 EET 2013	6	141	600	0
122	Thu Feb 07 01:34:52 EET 2013	refresh-ahead	Thu Feb 07 01:34:52 EET 2013	8	141	847	0
122	Thu Feb 07 01:34:55 EET 2013	refresh-ahead	Thu Feb 07 01:34:55 EET 2013	6	142	605	0
123	Thu Feb 07 01:35:52 EET 2013	refresh-ahead	Thu Feb 07 01:35:52 EET 2013	8	142	854	0
123	Thu Feb 07 01:35:55 EET 2013	refresh-ahead	Thu Feb 07 01:35:55 EET 2013	6	143	610	0
124	Thu Feb 07 01:36:52 EET 2013	refresh-ahead	Thu Feb 07 01:36:52 EET 2013	8	143	861	0
124	Thu Feb 07 01:36:55 EET 2013	refresh-ahead	Thu Feb 07 01:36:55 EET 2013	6	144	615	0
125	Thu Feb 07 01:37:52 EET 2013	refresh-ahead	Thu Feb 07 01:37:52 EET 2013	8	144	868	0
125	Thu Feb 07 01:37:56 EET 2013	refresh-ahead	Thu Feb 07 01:37:56 EET 2013	6	145	620	0
126	Thu Feb 07 01:38:52 EET 2013	refresh-ahead	Thu Feb 07 01:38:52 EET 2013	8	145	875	0
126	Thu Feb 07 01:38:56 EET 2013	refresh-ahead	Thu Feb 07 01:38:56 EET 2013	6	146	625	0
127	Thu Feb 07 01:39:53 EET 2013	refresh-ahead	Thu Feb 07 01:39:53 EET 2013	8	146	882	0
127	Thu Feb 07 01:39:56 EET 2013	refresh-ahead	Thu Feb 07 01:39:56 EET 2013	6	148	630	0
128	Thu Feb 07 01:40:53 EET 2013	refresh-ahead	Thu Feb 07 01:40:53 EET 2013	8	148	889	0
128	Thu Feb 07 01:40:56 EET 2013	refresh-ahead	Thu Feb 07 01:40:56 EET 2013	6	149	635	0
129	Thu Feb 07 01:41:53 EET 2013	refresh-ahead	Thu Feb 07 01:41:53 EET 2013	8	149	896	0
129	Thu Feb 07 01:41:56 EET 2013	refresh-ahead	Thu Feb 07 01:41:56 EET 2013	6	150	640	0
130	Thu Feb 07 01:42:53 EET 2013	refresh-ahead	Thu Feb 07 01:42:53 EET 2013	8	150	903	0
130	Thu Feb 07 01:42:56 EET 2013	refresh-ahead	Thu Feb 07 01:42:56 EET 2013	6	151	645	0
131	Thu Feb 07 01:43:53 EET 2013	refresh-ahead	Thu Feb 07 01:43:53 EET 2013	8	151	910	0
131	Thu Feb 07 01:43:56 EET 2013	refresh-ahead	Thu Feb 07 01:43:56 EET 2013	6	152	650	0
