Batch Counter	Report Time	RefreshTime	Node Id	Tx Success	Rx Success	PacketsSent	Current Packets Sent	PacketsResent	Current Packet Resent	PacketsRepeated	Current Repeated	PacketsReceived	Current Packets Received
88	Thu Feb 07 01:00:48 EET 2013	Thu Feb 07 01:00:48 EET 2013	1	1.0	1.0	8095	91.0	0	0.0	0	0.0	8131	91.0
88	Thu Feb 07 01:00:48 EET 2013	Thu Feb 07 01:00:48 EET 2013	2	1.0	1.0	2800	31.0	0	0.0	0	0.0	8105	91.0
88	Thu Feb 07 01:00:50 EET 2013	Thu Feb 07 01:00:50 EET 2013	1	1.0	1.0	8098	91.0	0	0.0	0	0.0	8135	91.0
88	Thu Feb 07 01:00:50 EET 2013	Thu Feb 07 01:00:50 EET 2013	2	1.0	1.0	2829	31.0	0	0.0	0	0.0	8136	91.0
89	Thu Feb 07 01:01:48 EET 2013	Thu Feb 07 01:01:48 EET 2013	1	1.0	1.0	8185	90.0	0	0.0	0	0.0	8203	72.0
89	Thu Feb 07 01:01:48 EET 2013	Thu Feb 07 01:01:48 EET 2013	2	1.0	1.0	2831	31.0	0	0.0	0	0.0	8196	91.0
89	Thu Feb 07 01:01:51 EET 2013	Thu Feb 07 01:01:51 EET 2013	1	1.0	1.0	8189	91.0	0	0.0	0	0.0	8226	91.0
89	Thu Feb 07 01:01:51 EET 2013	Thu Feb 07 01:01:51 EET 2013	2	1.0	1.0	2860	31.0	0	0.0	0	0.0	8227	91.0
90	Thu Feb 07 01:02:48 EET 2013	Thu Feb 07 01:02:48 EET 2013	1	1.0	1.0	8278	92.0	0	0.0	0	0.0	8293	72.0
90	Thu Feb 07 01:02:48 EET 2013	Thu Feb 07 01:02:48 EET 2013	2	1.0	1.0	2862	31.0	0	0.0	0	0.0	8288	92.0
90	Thu Feb 07 01:02:51 EET 2013	Thu Feb 07 01:02:51 EET 2013	1	1.0	1.0	8282	93.0	0	0.0	0	0.0	8317	91.0
90	Thu Feb 07 01:02:51 EET 2013	Thu Feb 07 01:02:51 EET 2013	2	1.0	1.0	2891	31.0	0	0.0	0	0.0	8320	93.0
91	Thu Feb 07 01:03:48 EET 2013	Thu Feb 07 01:03:48 EET 2013	1	1.0	1.0	8371	93.0	0	0.0	0	0.0	8405	112.0
91	Thu Feb 07 01:03:48 EET 2013	Thu Feb 07 01:03:48 EET 2013	2	1.0	1.0	2893	31.0	0	0.0	0	0.0	8381	93.0
91	Thu Feb 07 01:03:51 EET 2013	Thu Feb 07 01:03:51 EET 2013	1	1.0	1.0	8373	91.0	0	0.0	0	0.0	8408	91.0
91	Thu Feb 07 01:03:51 EET 2013	Thu Feb 07 01:03:51 EET 2013	2	1.0	1.0	2922	31.0	0	0.0	0	0.0	8412	92.0
92	Thu Feb 07 01:04:48 EET 2013	Thu Feb 07 01:04:48 EET 2013	1	1.0	1.0	8462	91.0	0	0.0	0	0.0	8496	91.0
92	Thu Feb 07 01:04:48 EET 2013	Thu Feb 07 01:04:48 EET 2013	2	1.0	1.0	2924	31.0	0	0.0	0	0.0	8472	91.0
92	Thu Feb 07 01:04:51 EET 2013	Thu Feb 07 01:04:51 EET 2013	1	1.0	1.0	8465	92.0	0	0.0	0	0.0	8500	92.0
92	Thu Feb 07 01:04:51 EET 2013	Thu Feb 07 01:04:51 EET 2013	2	1.0	1.0	2953	31.0	0	0.0	0	0.0	8503	91.0
93	Thu Feb 07 01:05:48 EET 2013	Thu Feb 07 01:05:48 EET 2013	1	1.0	1.0	8553	91.0	0	0.0	0	0.0	8587	91.0
93	Thu Feb 07 01:05:48 EET 2013	Thu Feb 07 01:05:48 EET 2013	2	1.0	1.0	2955	31.0	0	0.0	0	0.0	8563	91.0
93	Thu Feb 07 01:05:51 EET 2013	Thu Feb 07 01:05:51 EET 2013	1	1.0	1.0	8556	91.0	0	0.0	0	0.0	8591	91.0
93	Thu Feb 07 01:05:51 EET 2013	Thu Feb 07 01:05:51 EET 2013	2	1.0	1.0	2984	31.0	0	0.0	0	0.0	8594	91.0
94	Thu Feb 07 01:06:48 EET 2013	Thu Feb 07 01:06:48 EET 2013	1	1.0	1.0	8644	91.0	0	0.0	0	0.0	8678	91.0
94	Thu Feb 07 01:06:48 EET 2013	Thu Feb 07 01:06:48 EET 2013	2	1.0	1.0	2986	31.0	0	0.0	0	0.0	8654	91.0
94	Thu Feb 07 01:06:51 EET 2013	Thu Feb 07 01:06:51 EET 2013	1	1.0	1.0	8647	91.0	0	0.0	0	0.0	8682	91.0
94	Thu Feb 07 01:06:51 EET 2013	Thu Feb 07 01:06:51 EET 2013	2	1.0	1.0	3015	31.0	0	0.0	0	0.0	8685	91.0
95	Thu Feb 07 01:07:49 EET 2013	Thu Feb 07 01:07:49 EET 2013	1	1.0	1.0	8735	91.0	0	0.0	0	0.0	8769	91.0
95	Thu Feb 07 01:07:49 EET 2013	Thu Feb 07 01:07:49 EET 2013	2	1.0	1.0	3017	31.0	0	0.0	0	0.0	8745	91.0
95	Thu Feb 07 01:07:51 EET 2013	Thu Feb 07 01:07:51 EET 2013	1	1.0	1.0	8738	91.0	0	0.0	0	0.0	8773	91.0
95	Thu Feb 07 01:07:51 EET 2013	Thu Feb 07 01:07:51 EET 2013	2	1.0	1.0	3047	32.0	0	0.0	0	0.0	8777	92.0
96	Thu Feb 07 01:08:49 EET 2013	Thu Feb 07 01:08:49 EET 2013	1	1.0	1.0	8827	92.0	0	0.0	0	0.0	8862	93.0
96	Thu Feb 07 01:08:49 EET 2013	Thu Feb 07 01:08:49 EET 2013	2	1.0	1.0	3050	33.0	0	0.0	0	0.0	8837	92.0
96	Thu Feb 07 01:08:52 EET 2013	Thu Feb 07 01:08:52 EET 2013	1	1.0	1.0	8831	93.0	0	0.0	0	0.0	8866	93.0
96	Thu Feb 07 01:08:52 EET 2013	Thu Feb 07 01:08:52 EET 2013	2	1.0	1.0	3079	32.0	0	0.0	0	0.0	8869	92.0
97	Thu Feb 07 01:09:49 EET 2013	Thu Feb 07 01:09:49 EET 2013	1	1.0	1.0	8919	91.0	0	0.0	0	0.0	8953	91.0
97	Thu Feb 07 01:09:49 EET 2013	Thu Feb 07 01:09:49 EET 2013	2	1.0	1.0	3081	31.0	0	0.0	0	0.0	8929	92.0
97	Thu Feb 07 01:09:52 EET 2013	Thu Feb 07 01:09:52 EET 2013	1	1.0	1.0	8922	91.0	0	0.0	0	0.0	8957	91.0
97	Thu Feb 07 01:09:52 EET 2013	Thu Feb 07 01:09:52 EET 2013	2	1.0	1.0	3110	31.0	0	0.0	0	0.0	8960	91.0
98	Thu Feb 07 01:10:49 EET 2013	Thu Feb 07 01:10:49 EET 2013	1	1.0	1.0	9011	92.0	0	0.0	0	0.0	9045	92.0
98	Thu Feb 07 01:10:49 EET 2013	Thu Feb 07 01:10:49 EET 2013	2	1.0	1.0	3112	31.0	0	0.0	0	0.0	9021	92.0
98	Thu Feb 07 01:10:52 EET 2013	Thu Feb 07 01:10:52 EET 2013	1	1.0	1.0	9013	91.0	0	0.0	0	0.0	9048	91.0
98	Thu Feb 07 01:10:52 EET 2013	Thu Feb 07 01:10:52 EET 2013	2	1.0	1.0	3141	31.0	0	0.0	0	0.0	9035	75.0
99	Thu Feb 07 01:11:49 EET 2013	Thu Feb 07 01:11:49 EET 2013	1	1.0	1.0	9102	91.0	0	0.0	0	0.0	9137	92.0
99	Thu Feb 07 01:11:49 EET 2013	Thu Feb 07 01:11:49 EET 2013	2	1.0	1.0	3144	32.0	0	0.0	0	0.0	9112	91.0
99	Thu Feb 07 01:11:52 EET 2013	Thu Feb 07 01:11:52 EET 2013	1	1.0	1.0	9104	91.0	0	0.0	0	0.0	9140	92.0
